id,speaker_zh,text_zh
dlg_f01_intro,老守衛,又一個不要命的。
dlg_f01_intro,老守衛,聽好——塔裡的怪物不會追你，但也絕不讓路。
dlg_f01_intro,老守衛,上前之前先看清數字。這座塔裡，數字從不說謊。
dlg_f01_intro,老守衛,鑰匙永遠比門少。想清楚再開。
dlg_f06_hourglass,老守衛,撿到沙漏了？那是後悔藥。
dlg_f06_hourglass,老守衛,整座塔裡沒幾顆。別為小事打碎它。
dlg_f08_paywall,老守衛,那扇紅門後面的東西，值得你留到最後一把鑰匙。
dlg_f08_paywall,老守衛,什麼？你連上面有什麼都不知道就爬到這了？
dlg_f08_paywall,老守衛,星鑽就在十層之上。我這盞燈——只能照到這裡了。
dlg_shop_first,商人,亂世裡只有金幣是老實的。要什麼？
dlg_shop_more,商人,又來了？上回的貨你用得不錯吧。價錢嘛……漲了點。
dlg_altar_first,祭壇,（低語）以經驗為薪，燃出力量。
dlg_f00_prologue,,和平的國度裡突然出現一群惡魔，四處破壞，半數的土地已成廢墟。
dlg_f00_prologue,,更不幸的是，公主被惡魔首領附身，逃入一座矗立於孤島上的高塔。
dlg_f00_prologue,,國王昭告天下：救回公主者，重賞。挑戰者絡繹不絕，卻無一人生還。
dlg_f00_prologue,,直到一名異國戰士當眾立誓——七日之內，必帶公主歸來。
dlg_f00_prologue,,那個人，就是你。
dlg_f00_veteran,老兵,回頭吧。進去的人多，出來的少。
dlg_f00_veteran,老兵,……看你的眼神，是勸不動了。
dlg_f00_veteran,老兵,那就記住一件事：打不過的怪，牠就是一堵牆。
dlg_f00_veteran,老兵,牆不會殺你。硬要撞牆的人才會死。
dlg_f00_gate,勇者,就是這裡了……攻進去！！
