id,name_zh,atk,def,hp,traits,gold_drop,exp_drop,is_guardian,sprite,bestiary_note
slime_green,綠史萊姆,,,,,,,FALSE,mon_slime_g,最誠實的對手——用牠練習讀傷害預覽。
bat_cave,洞穴蝙蝠,,,,,,,FALSE,mon_bat_cave,血少但煩人。繞路的代價，常常比打牠更貴。
skel_gray,小骷髏,,,,,,,FALSE,mon_skel_gray,防禦偏高。攻擊寶石的價值在牠身上最明顯。
slime_red,紅史萊姆,,,,,,,FALSE,mon_slime_r,比綠色的兇一點。差多少？數字會告訴你。
rat_giant,大老鼠,,,,,,,FALSE,mon_rat_giant,攻高防低——防禦寶石在牠面前回本最快。
slime_blue,藍史萊姆,,,,,,,FALSE,mon_slime_b,看起來很安靜。別被表情騙了，看數字。
bandit,強盜,,,,,,,FALSE,mon_bandit,掉的金幣不少。值不值得挨牠幾刀？
skel_soldier,骷髏兵,,,,,,,FALSE,mon_skel_soldier,經驗豐厚。為祭壇而戰的第一個好目標。
ghost_pale,蒼白幽魂,,,,,,,FALSE,mon_ghost_pale,數值全面均衡——牠是你當前實力的一面鏡子。
wasp_striker,刺蜂,,,,first_strike,,,FALSE,mon_wasp_striker,牠總是先出手。你的防禦，突然重要了起來。
duelist_twin,雙刀鬥士,,,,multi_hit,,,FALSE,mon_duelist_twin,每回合砍兩刀。每一點防禦都省下雙倍的血。
mage_void,虛空法師,,,,pierce,,,FALSE,mon_mage_void,魔攻無視防禦。堆再多的盾，也擋不住虛空。
gatekeeper_biped,門衛雙足獸,30,24,300,first_strike|multi_hit,200,250,TRUE,boss_gate_01,先攻，而且連擊。正面硬撞是死路——回頭看看你的資源。
vampbat_king,吸血蝠王,,,,lifesteal,,,FALSE,mon_vampbat_king,吸血。打得慢就是在餵牠——攻擊不足者勿近。
warden_10,塔層守衛,,,,,,,TRUE,boss_warden_10,（佔位：守關級數值＋雙特性，待 Boss 設計語言定案）
